sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	numThrows	runtime
247	21087	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	2186	1.2174
248	46020	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3014
249	1023	Needles_3	4	3.1416	5e-05	4.98287402415e-05	False	1912	1.0502
250	64222	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3083
251	6207	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3096
252	23849	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1515
253	57357	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1481
254	4045	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3015
255	18016	Needles_3	4	3.1416	5e-05	4.91587632987e-05	False	4917	2.7338
256	49880	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1499
257	13372	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1524
258	40879	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.2737
259	25363	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	1093	0.5913
260	15549	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	1093	0.5938
261	2282	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	2186	1.2751
262	30392	Needles_3	4	3.1416	5e-05	4.44722008672e-05	False	820	0.4494
263	17537	Needles_3	4	3.1416	5e-05	4.93100381811e-05	False	8468	4.5764
264	60614	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1469
265	19799	Needles_3	4	3.1416	5e-05	4.44722008672e-05	False	820	0.4582
266	25052	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3021
267	61452	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	1093	0.6035
268	31644	Needles_3	4	3.1416	5e-05	1.18260006086e-05	False	549	0.31
269	20847	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1529
270	36462	Needles_3	4	3.1416	5e-05	2.84590617028e-05	False	11866	6.4851
271	63882	Needles_3	4	3.1416	5e-05	4.91587632987e-05	False	1639	0.9006
272	1322	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.2949
273	28707	Needles_3	4	3.1416	5e-05	4.98287402415e-05	False	3824	2.1107
274	37077	Needles_3	4	3.1416	5e-05	4.82209922446e-05	False	1366	0.87
275	6364	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	1093	0.609
276	15153	Needles_3	4	3.1416	5e-05	4.99863988921e-05	False	13930	7.5956
277	23624	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	1093	0.594
278	25393	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1549
279	27682	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3019
280	13579	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1474
281	62041	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3042
282	42488	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1473
283	40409	Needles_3	4	3.1416	5e-05	4.9405583288e-05	False	5190	2.8783
284	15035	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1514
285	37764	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.151
286	20053	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.151
287	58589	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.15
288	55040	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1522
289	8120	Needles_3	4	3.1416	5e-05	4.82209922446e-05	False	1366	0.7532
290	23646	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1502
291	60741	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.2973
292	52167	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.297
293	41825	Needles_3	4	3.1416	5e-05	4.95195055654e-05	False	3551	1.9617
294	63714	Needles_3	4	3.1416	5e-05	4.44722008672e-05	False	820	0.4503
295	30869	Needles_3	4	3.1416	5e-05	4.93463450408e-05	False	6829	3.7559
296	9378	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1489
297	22266	Needles_3	4	3.1416	5e-05	2.57831043426e-05	False	274	0.1506
298	65262	Needles_3	4	3.1416	5e-05	4.75959389741e-05	False	2459	1.3556
299	7709	Needles_3	4	3.1416	5e-05	3.97913642298e-05	False	547	0.3018
300	49578	Needles_3	4	3.1416	5e-05	4.68147657022e-05	False	1093	0.6023
301	29447	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	550	0.3081
302	28382	Needles_3	5	3.14159	5e-06	1.88780586852e-06	False	1924	1.1307
303	50846	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	550	0.304
304	42316	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.157
305	63435	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	550	0.3082
306	62503	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.173
307	33959	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1552
308	33249	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.157
309	56241	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	550	0.3058
310	18677	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1602
311	64352	Needles_3	5	3.1416	5e-06	4.64225760632e-06	False	17035	9.3543
312	18284	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.167
313	24236	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	825	0.4553
